Manuscript Number,Current Status
PONE-D-15-13472R1,Completed Accept
PONE-D-15-13484,Completed Reject
PONE-D-15-13491,Completed Withdrawn
PONE-D-15-13500,Completed Reject
PONE-D-15-13502,Completed Reject
PONE-D-15-13508R2,Completed Accept
PONE-D-15-13517,Completed Reject
PONE-D-15-13519,Completed Withdrawn
PONE-D-15-13523,Completed Reject
PONE-D-15-13528,Completed Withdrawn
PONE-D-15-13534,Completed Reject
PONE-D-15-13536,Completed Withdrawn
PONE-D-15-13540R1,Completed Accept
PONE-D-15-13541R1,Completed Accept
PONE-D-15-13545R1,Completed Accept
PONE-D-15-13546,Completed Reject
PONE-D-15-13549R2,Completed Accept
PONE-D-15-13552R1,Completed Accept
PONE-D-15-13557,Completed Withdrawn
PONE-D-15-13566,Completed Reject
PONE-D-15-13580R1,Completed Accept
PONE-D-15-13583R2,Completed Accept
PONE-D-15-13602,Completed Reject
PONE-D-15-13605R1,Completed Accept
PONE-D-15-13607R1,Completed Accept
PONE-D-15-13611,Completed Reject
PONE-D-15-13612,Completed Reject
PONE-D-15-13615,Completed Reject
PONE-D-15-13626,Completed Reject
PONE-D-15-13637,Completed Reject
PONE-D-15-13648,Completed Reject
PONE-D-15-13650,Completed Reject
PONE-D-15-13651,Completed Withdrawn
PONE-D-15-13656,Completed Withdrawn
PONE-D-15-13670,Completed Reject
PONE-D-15-13686,Completed Reject
PONE-D-15-13700,Completed Reject
PONE-D-15-13701R1,Completed Accept
PONE-D-15-13702R1,Completed Accept
PONE-D-15-13711,Completed Reject
PONE-D-15-13712,Completed Reject
PONE-D-15-13724R2,Completed Accept
PONE-D-15-13728R1,Completed Accept
PONE-D-15-13729,Completed Withdrawn
PONE-D-15-13734,Completed Reject
PONE-D-15-13743,Completed Reject
PONE-D-15-13767R2,Completed Accept
PONE-D-15-13777,Completed Reject
PONE-D-15-13778R2,Completed Accept
PONE-D-15-13794,Completed Reject
PONE-D-15-13803,Completed Reject
PONE-D-15-13809,Completed Reject
PONE-D-15-13811R2,Completed Accept
PONE-D-15-13815R1,Completed Accept
PONE-D-15-13833,Completed Reject
PONE-D-15-13836,Completed Reject
PONE-D-15-13839R2,Completed Accept
PONE-D-15-13842,Completed Reject
PONE-D-15-13849,Completed Reject
PONE-D-15-13852,Completed Reject
PONE-D-15-13854R1,Completed Accept
PONE-D-15-13857,Completed Reject
PONE-D-15-13860,Completed Reject
PONE-D-15-13862,Completed Withdrawn
PONE-D-15-13863R1,Completed Accept
PONE-D-15-13872,Completed Withdrawn
PONE-D-15-13877,Completed Withdrawn
PONE-D-15-13888R1,Completed Accept
PONE-D-15-13891,Completed Reject
PONE-D-15-13901R2,Completed Accept
PONE-D-15-13906R1,Completed Accept
PONE-D-15-13907,Completed Reject
PONE-D-15-13919,Completed Reject
PONE-D-15-13924,Completed Reject
PONE-D-15-13925R1,Completed Accept
PONE-D-15-13930R2,Completed Accept
PONE-D-15-13942R2,Completed Accept
PONE-D-15-13953R1,Completed Accept
PONE-D-15-13956R1,Completed Accept
PONE-D-15-13966R1,Completed Accept
PONE-D-15-13967R2,Completed Accept
PONE-D-15-13968R1,Completed Accept
PONE-D-15-13969R2,Completed Accept
PONE-D-15-13973R2,Completed Reject
PONE-D-15-13975,Completed Reject
