Manuscript Number,Current Status
PONE-D-15-20765,Completed Reject
PONE-D-15-20767R1,Completed Accept
PONE-D-15-20770,Completed Reject
PONE-D-15-20771,Completed Reject
PONE-D-15-20773R2,Completed Accept
PONE-D-15-20779,Completed Reject
PONE-D-15-20783R1,Completed Accept
PONE-D-15-20789R1,Completed Accept
PONE-D-15-20790R1,Completed Accept
PONE-D-15-20792,Completed Reject
PONE-D-15-20799R2,Completed Accept
PONE-D-15-20808,Completed Reject
PONE-D-15-20813,Completed Reject
PONE-D-15-20817,Completed Reject
PONE-D-15-20823R1,Completed Reject
PONE-D-15-20833,Completed Reject
PONE-D-15-20839R1,Completed Accept
PONE-D-15-20841,Completed Reject
PONE-D-15-20848,Completed Reject
PONE-D-15-20867R1,Completed Accept
PONE-D-15-20876R1,Completed Accept
PONE-D-15-20883R2,Completed Accept
PONE-D-15-20887R2,Completed Accept
PONE-D-15-20890R2,Completed Accept
PONE-D-15-20894R1,Completed Accept
PONE-D-15-20896R1,Rebuttal
PONE-D-15-20900,Completed Reject
PONE-D-15-20901R1,Completed Reject
PONE-D-15-20919,Completed Reject
PONE-D-15-20923,Completed Reject
PONE-D-15-20937,Completed Reject
PONE-D-15-20950,Completed Withdrawn
PONE-D-15-21001R1,Completed Reject
PONE-D-15-21004,Completed Reject
PONE-D-15-21009R1,Completed Accept
PONE-D-15-21033R1,Completed Accept
PONE-D-15-21042R1,Completed Accept
PONE-D-15-21045,Completed Reject
PONE-D-15-21046,Completed Reject
PONE-D-15-21052,Completed Reject
PONE-D-15-21061R1,Completed Accept
PONE-D-15-21065R2,Completed Accept
PONE-D-15-21070,Completed Reject
PONE-D-15-21078,Completed Reject
PONE-D-15-21080,Completed Reject
PONE-D-15-21081,Completed Reject
PONE-D-15-21089,Completed Reject
PONE-D-15-21094R2,Completed Accept
PONE-D-15-21099,Completed Reject
PONE-D-15-21101,Completed Reject
PONE-D-15-21107,Completed Reject
PONE-D-15-21108R1,Completed Accept
PONE-D-15-21118,Completed Reject
PONE-D-15-21123R2,Completed Accept
PONE-D-15-21127R2,Completed Accept
PONE-D-15-21129,Completed Reject
PONE-D-15-21133,Completed Reject
PONE-D-15-21136R2,Completed Accept
PONE-D-15-21137,Completed Reject
PONE-D-15-21138R2,Completed Accept
PONE-D-15-21144,Completed Reject
PONE-D-15-21146,Completed Withdrawn
PONE-D-15-21162R1,Completed Accept
PONE-D-15-21172R2,Completed Accept
PONE-D-15-21180,Completed Reject
PONE-D-15-21184R1,Completed Accept
PONE-D-15-21186,Completed Reject
PONE-D-15-21187R1,Completed Accept
PONE-D-15-21191,Completed Reject
PONE-D-15-21194R1,Completed Accept
PONE-D-15-21202,Completed Reject
PONE-D-15-21203,Completed Reject
PONE-D-15-21205,Completed Reject
PONE-D-15-21206,Completed Reject
PONE-D-15-21211,Completed Reject
PONE-D-15-21220R3,Completed Accept
PONE-D-15-21223,Completed Reject
PONE-D-15-21225R1,Completed Accept
PONE-D-15-21228R1,Completed Accept
PONE-D-15-21233R2,Completed Accept
PONE-D-15-21234,Completed Reject
PONE-D-15-21236R1,Completed Accept
PONE-D-15-21246R2,Completed Accept
PONE-D-15-21260,Completed Withdrawn
PONE-D-15-21267R1,Incomplete
PONE-D-15-21269R2,Completed Accept
PONE-D-15-21275R1,Completed Accept
PONE-D-15-21278,Completed Withdrawn
PONE-D-15-21288,Completed Reject
PONE-D-15-21295R1,Completed Accept
PONE-D-15-21296,Completed Reject
PONE-D-15-21297,Completed Reject
PONE-D-15-21310,Completed Reject
PONE-D-15-21330,Completed Withdrawn
PONE-D-15-21331,Completed Reject
PONE-D-15-21334R2,Completed Accept
PONE-D-15-21345,Completed Reject
PONE-D-15-21348R1,Completed Reject
PONE-D-15-21355,Completed Reject
PONE-D-15-21362,Completed Reject
PONE-D-15-21367R1,Completed Reject
PONE-D-15-21369R1,Completed Accept
PONE-D-15-21375R1,Completed Reject
PONE-D-15-21378R1,Completed Accept
PONE-D-15-21389,Completed Reject
PONE-D-15-21390,Completed Reject
PONE-D-15-21401,Completed Reject
PONE-D-15-21415R2,Completed Accept
PONE-D-15-21420R1,Completed Reject
PONE-D-15-21427,Completed Reject
PONE-D-15-21429R1,Completed Accept
PONE-D-15-21430,Completed Reject
PONE-D-15-21438R2,Completed Accept
PONE-D-15-21448R1,Completed Reject
PONE-D-15-21459,Completed Reject
PONE-D-15-21461,Completed Reject
PONE-D-15-21467,Completed Reject
PONE-D-15-21468R1,Completed Accept
PONE-D-15-21476,Completed Reject
PONE-D-15-21480,Completed Reject
PONE-D-15-21484,Completed Reject
PONE-D-15-21486,Completed Withdrawn
PONE-D-15-21499,Completed Reject
PONE-D-15-21508,Completed Reject
PONE-D-15-21520,Completed Withdrawn
PONE-D-15-21529,Completed Reject
PONE-D-15-21545R1,Completed Accept
PONE-D-15-21565R2,Completed Accept
PONE-D-15-21567R1,Completed Accept
PONE-D-15-21568R1,Completed Accept
PONE-D-15-21572R2,Completed Accept
PONE-D-15-21573R1,Completed Accept
PONE-D-15-21574,Completed Reject
PONE-D-15-21577,Completed Reject
PONE-D-15-21579,Completed Withdrawn
PONE-D-15-21603R1,Completed Accept
PONE-D-15-21607,Completed Withdrawn
PONE-D-15-21615R1,Completed Accept
PONE-D-15-21622R2,Completed Accept
PONE-D-15-21624R2,Completed Accept
PONE-D-15-21628R1,Completed Accept
PONE-D-15-21634,Completed Reject
PONE-D-15-21639R2,Completed Accept
PONE-D-15-21644R1,Completed Reject
PONE-D-15-21645R1,Completed Accept
PONE-D-15-21649R2,Completed Accept
PONE-D-15-21657R2,Completed Accept
PONE-D-15-21665,Completed Reject
PONE-D-15-21667,Completed Reject
PONE-D-15-21670R1,Completed Accept
PONE-D-15-21689,Completed Reject
PONE-D-15-21693R2,Completed Accept
PONE-D-15-21694R3,Completed Accept
PONE-D-15-21700R1,Completed Accept
PONE-D-15-21712,Completed Reject
PONE-D-15-21719,Completed Withdrawn
PONE-D-15-21730,Completed Reject
PONE-D-15-21733,Completed Reject
PONE-D-15-21734,Completed Reject
PONE-D-15-21752R1,Completed Accept
PONE-D-15-21754R2,Completed Accept
PONE-D-15-21756R1,Completed Accept
PONE-D-15-21763R2,Completed Accept
PONE-D-15-21766R1,Completed Accept
PONE-D-15-21774R2,Completed Accept
PONE-D-15-21801R2,Completed Accept
PONE-D-15-21815,Completed Reject
PONE-D-15-21824R2,Completed Accept
PONE-D-15-21851,Completed Withdrawn
PONE-D-15-21862R1,Completed Accept
PONE-D-15-21865,Completed Reject
PONE-D-15-21870R1,Completed Accept
PONE-D-15-21876R1,Completed Reject
PONE-D-15-21877,Completed Reject
PONE-D-15-21890R2,Completed Accept
PONE-D-15-21893,Completed Reject
PONE-D-15-21900R2,Completed Accept
PONE-D-15-21911R1,Completed Accept
PONE-D-15-21918R1,Completed Accept
PONE-D-15-21919,Completed Reject
PONE-D-15-21934,Completed Reject
PONE-D-15-21940R1,Completed Accept
PONE-D-15-21943,Completed Reject
PONE-D-15-21944R1,Completed Accept
PONE-D-15-21947,Completed Reject
PONE-D-15-21949R1,Completed Accept
PONE-D-15-21958,Completed Reject
PONE-D-15-21960R1,Completed Accept
PONE-D-15-21974R2,Completed Accept
PONE-D-15-21975R1,Completed Accept
PONE-D-15-21987R3,Completed Accept
PONE-D-15-21988R2,Completed Accept
PONE-D-15-21998R1,Completed Accept
PONE-D-15-22013R1,Completed Accept
PONE-D-15-22014,Completed Reject
PONE-D-15-22042,Completed Reject
PONE-D-15-22053R1,Completed Withdrawn
PONE-D-15-22054R2,Completed Accept
PONE-D-15-22090,Completed Reject
PONE-D-15-22091,Completed Reject
PONE-D-15-22102,Completed Reject
PONE-D-15-22103,Completed Reject
PONE-D-15-22104,Completed Reject
PONE-D-15-22112R2,Completed Accept
PONE-D-15-22116R1,Completed Accept
PONE-D-15-22117R1,Completed Accept
PONE-D-15-22119,Completed Reject
PONE-D-15-22130R1,Completed Accept
PONE-D-15-22133,Completed Reject
PONE-D-15-22147R1,Completed Accept
PONE-D-15-22151R1,Completed Accept
PONE-D-15-22162,Completed Reject
PONE-D-15-22170R1,Completed Reject
PONE-D-15-22185R1,Completed Accept
PONE-D-15-22196R3,Completed Accept
PONE-D-15-11263,Error
PONE-D-15-11960,Error
PONE-D-15-12405,Error
PONE-D-15-12470,Error
PONE-D-15-12907,Error
PONE-D-15-13202,Error
PONE-D-15-13845,Error
PONE-D-15-14052,Error
PONE-D-15-14916,Error
PONE-D-15-14943,Error
PONE-D-15-15136,Error
PONE-D-15-15214,Error
PONE-D-15-15397,Error
PONE-D-15-15450,Error
PONE-D-15-15533,Error
PONE-D-15-15707,Error
PONE-D-15-15832,Error
PONE-D-15-16362,Error
PONE-D-15-18061,Error
PONE-D-15-18786,Error
PONE-D-15-18872,Error
PONE-D-15-19711,Error
PONE-D-15-19923,Error
PONE-D-15-20017,Error
PONE-D-15-20814,Error
PONE-D-15-21546,Error
PONE-D-15-15215,N/A
PONE-D-15-16702,N/A
PONE-D-15-16892,N/A
PONE-D-15-18533,N/A
PONE-D-15-19413,N/A
PONE-D-15-20970,N/A
PONE-D-15-12330,Error
PONE-D-15-17580,Error
PONE-D-15-18095,Error
PONE-D-15-19002,Error
PONE-D-15-19482,Error
PONE-D-15-11658,Completed Accept
PONE-D-15-18737,Completed Accept
PONE-D-15-15604,Completed Withdrawn
PONE-D-15-21376,Completed Withdrawn
